"Venue_id","Name","City"
600,Molineux Stadium,"Wolverhampton, West Midlands"
495,Villa Park,Birmingham
494,Emirates Stadium,London
910,Stadio Olimpico,Roma
,Stadio Georgios Karaiskáki,Piraeus
547,King Power Stadium,"Leicester, Leicestershire"
512,Turf Moor,Burnley
,Stadio Georgios Karaiskáki,Piraeus
597,The Hawthorns,West Bromwich
585,St. Mary's Stadium,"Southampton, Hampshire"
1470,Estadio de Mendizorroza,Vitoria-Gasteiz
3972,Campo Nuevo Municipal de Cornella,Cornella de Llobregat
1461,Estadio Wanda Metropolitano,Madrid
1472,Estadio Municipal de Ipurúa,Eibar
1463,Estadio Ramón de Carranza,Cádiz
1479,Estadio Nuevo Los Cármenes,Granada
1482,Estadio Ciudad de Valencia,Valencia
1326,Arena Naţională,Bucureşti
1498,Estadio de la Cerámica,Villarreal
1476,Coliseum Alfonso Pérez,Getafe
519,Stamford Bridge,London
880,Stadio Ciro Vigorito,Benevento
907,Stadio Giuseppe Meazza,Milano
883,Sardegna Arena,Cagliari
881,Stadio Renato Dall'Ara,Bologna
939,Stadio Alberto Picco,La Spezia
1406,Stadion Rajko Mitić,Beograd
879,Gewiss Stadium,Bergamo
928,Dacia Arena,Udine
,Stadio Diego Armando Maradona,Napoli
905,Stadio Comunale Luigi Ferraris,Genova
1480,Estadio El Alcoraz,Huesca
1460,San Mamés Barria,Bilbao
1469,Estadio Nuevo Arcángel,Córdoba
,Estadio de la Cartuja,Seville
1473,Estadio Manuel Martínez Valero,Elche
1488,Estadio de Vallecas,Madrid
1462,Camp Nou,Barcelona
1489,Estadio Benito Villamarín,Sevilla
1494,Estadio Ramón Sánchez Pizjuán,Sevilla
700,Allianz Arena,München
703,Stadion im BORUSSIA-PARK,Mönchengladbach
725,Holstein-Stadion,Kiel
698,WWK Arena,Augsburg
741,VELTINS-Arena,Gelsenkirchen
694,Olympiastadion Berlin,Berlin
,Ahmed bin Ali Stadium,Ar-Rayyan
,Estadio El Sadar,Iruñea
671,Parc des Princes,Paris
702,Signal-Iduna-Park,Dortmund
738,Red Bull Arena,Leipzig
699,BayArena,Leverkusen
716,Schwarzwald-Stadion,Freiburg im Breisgau
535,Craven Cottage,London
593,Tottenham Hotspur Stadium,London
581,Bramall Lane,Sheffield
497,Oakwell,"Barnsley, South Yorkshire"
550,Anfield,Liverpool
8560,Goodison Park,Liverpool
902,Stadio Artemio Franchi,Firenze
909,Allianz Stadium,Torino
935,MAPEI Stadium - Città del Tricolore,Reggio nell'Emilia
,Stadio Diego Armando Maradona,Napoli
1286,Estádio Do Dragão,Porto
890,Stadio Marc'Antonio Bentegodi,Verona
556,Old Trafford,Manchester
598,London Stadium,London
,Puskás Aréna,Budapest
,Puskás Aréna,Budapest
,Puskás Aréna,Budapest
555,Etihad Stadium,Manchester
520,Jonny-Rocks Stadium,"Cheltenham, Gloucestershire"
6669,Estadio Alfredo Di Stéfano,Madrid
,Estadio El Sadar,Iruñea
1483,Estadio La Rosaleda,Málaga
,Campo Municipal El Collao,Alcoy
,Campo Municipal El Collao,Alcoy
1492,Estadio Municipal José Zorrilla,Valladolid
676,Stade Geoffroy-Guichard,Saint-Ètienne
654,Stade Bollaert-Delelis,Lens
634,Stade Raymond-Kopa,Angers
656,Stade Yves Allainmat - Le Moustoir,Lorient
667,Orange Vélodrome,Marseille
642,Stade Michel d'Ornano,Caen
645,Stade Gaston-Gérard,Dijon
638,Stade Matmut-Atlantique,Bordeaux
641,Stade Francis-Le Blé,Brest
921,Stadio Ennio Tardini,Parma
5523,The Marine Travel Arena,"Crosby, Merseyside"
602,Adams Park,"High Wycombe, Buckinghamshire"
508,The American Express Community Stadium,"Falmer, East Sussex"
,Puskás Aréna,Budapest
562,St. James' Park,Newcastle upon Tyne
588,bet365 Stadium,"Stoke-on-Trent, Staffordshire"
10503,Brentford Community Stadium,"Brentford, Middlesex"
436,Sinobo Stadium,Praha
666,Groupama Stadium,Décines-Charpieu
680,Roazhon Park,Rennes
674,Stade Auguste-Delaune II,Reims
10491,Deutsche Bank Park,Frankfurt am Main
748,Stadion An der Alten Försterei,Berlin
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
,Stadio Diego Armando Maradona,Napoli
895,Stadio Ezio Scida,Crotone
1291,Estádio Municipal de Braga,Braga
6500,Estadio Municipal de Linarejos,Linares
1459,Estadio de los Juegos Mediterráneos,Almería
3528,The Chorley Group Victory Park Stadium,"Chorley, Lancashire"
525,Selhurst Park,London
1474,RCDE Stadium,Cornella de Llobregat
933,Stadio Arechi,Salerno
11915,Estadio Nuevo Mirandilla,Cádiz
,Estadio do Sport Lisboa e Benfica,Lisbon
,Estadio do Sport Lisboa e Benfica,Lisbon
718,Sportpark Ronhof Thomas Sommer,Fürth
1578,Vodafone Park,İstanbul
,NSK Olimpijs'kyj,Kiev
655,Stade Pierre-Mauroy,Villeneuve d'Ascq
,NSK Olimpijs'kyj,Kiev
11904,Stadio Diego Armando Maradona,Napoli
1518,Eleda Stadion,Malmö
943,Stadio Olimpico Grande Torino,Torino
659,Stade Louis II,Monaco
1491,Reale Arena,Donostia-San Sebastián
1456,Estadio Santiago Bernabéu,Madrid
148,Red Bull Arena,Wals-Siezenheim
896,Stadio Carlo Castellani,Empoli
,Estadio do Sport Lisboa e Benfica,Lisbon
1117,Johan Cruijff Arena,Amsterdam
644,Stade Gabriel Montpied,Clermont-Ferrand
,Gazprom Arena,Saint Petersburg
596,Vicarage Road,Watford
1352,Otkrytiye Arena,Moskva
11601,Generali Česká pojišťovna Arena,Praha
,Europa-Park Stadion,Freiburg im Breisgau
10500,Stadion Wankdorf,Bern
176,Jan Breydelstadion,Brugge
1143,Philips Stadion,Eindhoven
,Olimpiysky National Sports Complex,Kyiv
1467,Abanca-Balaídos,Vigo
752,VOLKSWAGEN ARENA,Wolfsburg
697,SchücoArena,Bielefeld
663,Allianz Riviera,Nice
,Estadio do Sport Lisboa e Benfica,Lisbon
,Gazprom Arena,Saint Petersburg
,Europa-Park-Stadion,Freiburg im Breisgau
1497,Estadio de Mestalla,Valencia
684,Stade de l'Aube,Troyes
,Olimpiysky National Sports Complex,Kyiv
12275,Unipol Domus,Cagliari
,Visit Mallorca Estadi,Palma de Mallorca
,Olimpiysky National Sports Complex,Kyiv
1093,Bolshaya Sportivnaya Arena,Tiraspol
546,Elland Road,"Leeds, West Yorkshire"
1253,Stadion Miejski Legii Warszawa im. Marszałka Józefa Piłsudskiego,Warszawa
948,Stadio Pierluigi Penzo,Venezia
12455,Cegeka Arena,Genk
,Olimpiysky National Sports Complex,Kyiv
,Olimpiysky National Sports Complex,Kyiv
1293,Estádio José Alvalade,Lisboa
443,Brøndby Stadion,Brøndby
660,Stade de la Mosson,Montpellier
724,PreZero Arena,Sinsheim
1327,RZD Arena,Moskva
12598,NEF Stadyumu,İstanbul
145,Allianz Stadion,Wien
11899,MEWA ARENA,Mainz
1486,Estadio El Sadar,Iruñea
750,Mercedes-Benz-Arena,Stuttgart
751,Vonovia Ruhrstadion,Bochum
,Saint-Petersburg Stadium,St. Petersburg
565,Carrow Road,"Norwich, Norfolk"
662,Stade de la Beaujoire - Louis Fonteneau,Nantes
,Stade Orange Vélodrome,Marseille
681,Stade de la Meinau,Strasbourg
150,Merkur Arena,Graz
12597,Visit Mallorca Estadi,Palma de Mallorca
731,RheinEnergieStadion,Köln
12678,Stade Orange Vélodrome,Marseille
,Stadio Georgios Karaiskáki,Piraeus
,Stadio Georgios Karaiskáki,Piraeus
1401,Ibrox Stadium,Glasgow
658,Stade Saint-Symphorien,Longeville-lès-Metz
412,Stadion Maksimir,Zagreb
12717,Europa-Park Stadion,Freiburg im Breisgau
,Estádio do Sport Lisboa e Benfica,Lisboa
,Saint-Petersburg Stadium,St. Petersburg
,Stadio Georgios Karaiskáki,Piraeus
551,Kenilworth Road,"Luton, Bedfordshire"
570,Weston Homes Stadium,Peterborough
558,Riverside Stadium,Middlesbrough
566,The City Ground,"Nottingham, Nottinghamshire"
720,Volksparkstadion,Hamburg
721,HDI-Arena,Hannover
6916,Estadio Municipal de Navalmoral de la Mata,Navalmoral de la Mata
2456,Estadio Pensativo,Antigua
1965,Estadio Víctor Manuel Reyna,Tuxtla Gutiérrez
,Estadio Marcelo Tinoco,Danlí
3498,Estadio Cacique Diriangén,Diriamba
4087,Galaxy Stadium,Jwaneng
,Compleho Deportivo Guillermo Prospero Trinidad,Oranjestad
405,Estadio Municipal de Puntarenas Miguel Ángel Lito Pérez Treacy,Puntarenas
1087,Estadio Universitario de Nuevo León,San Nicolás de los Garza
2462,Estadio Municipal Santa Lucía,Malacatán
3284,Estadio Cuscatlán,San Salvador
3294,Estadio Juan Francisco Barraza,San Miguel
3287,Estadio Sergio Torres Rivera,Usulután
3285,Estadio Jose Gregorio Martínez,Chalatenango
8608,Estadio Guillermo Slowing,Amatitlán
790,Estadio Francisco Morazán,San Pedro Sula
3502,Estadio Independencia,Estelí
,Edmund Marshalleck Stadium,Benque Viejo Town
4121,San Pedro Municipal Stadium,San Pedro
791,Estadio Municipal Ceibeño Nilmo Edwards,La Ceiba
4118,Michael Ashcroft Stadium,Independence Village
1081,Estadio Hidalgo,Pachuca de Soto
952,Denka Big Swan Stadium,Niigata
,AAMI Park,Melbourne
12557,Aberdeen Sports Ground,Hong Kong
1445,King Goodwill Zwelithini Stadium,"Durban, KN"
,Malta Park,Cape Town
,Stadionul Comunal Schela,Schela
,CommBank Stadium,Sydney
840,Stadion Kapten I Wayan Dipta,Gianyar
,Mohun Bagan Ground,"Kolkata, West Bengal"
1354,Stadion Trud,Tomsk
,Dimotiko Stadio Mykonou,Mykonos
,Stadion FK Borac Lazarevac,Lazarevac
5314,Bedřichovská UMT,Praha
,Baza Sportivă Ciorogârla,Ciorogârla
11399,Stadionul Sânicolau Mic,Arad
6159,Stadion Na Bělince,Kunovice
6157,Bazaly,Slezská Ostrava
2515,Městský stadion Horním parku,Znojmo
6154,Stadion Na Chvalech - Hřiště,Praha
5268,Stadion Na Pecích,Praha
8201,UMT Doubí,Liberec
5280,Městský fotbalový stadion,Chlumec nad Cidlinou
10678,Areál  TJ Slavia Hradec Králové,Hradec Králové
3253,Stadion Evžena Rošického,Praha
139,Job Consulting Arena,Wien
7243,Štadión Pasienky,Bratislava
,EMMA & EUGEN Arena,Dornbirn
3772,Kunstrasen Reichenau Hauptspielfeld,Innsbruck
12081,Sportplatz ESV Admira Villach,Villach
12080,ASK-Sportanlage Fischl,Klagenfurt am Wörthersee
12120,Štadión TU Watsonova,Košice
11643,Štadión FK Rača,Bratislava
5955,Sportplatz WAF Gruabn,Wien
,Campo Sportivo Begato 9,Genova
5304,Drahovice UMT,Karlovy Vary
1320,Stadionul Municipal Gaz Metan,Mediaş
8178,Jonny Rehbein Sportplatz,Hamburg
11980,Štadión FC Rohožník,Rohožník
800,Alcufer Stadion,Győr
801,ETO Park,Győr
4655,Charentsavan City Stadium,Charentsavan
8303,DVTK Edzőcentrum Füves Edzőpálya,Miskolc
814,Szusza Ferenc Stadion,Budapest
4688,Kırşehir Ahi,Kırşehir
5385,"18 Temmuz Stadyumu",Düzce
,Campioni d'Italia 1969/70 Asseminello,Cagliari
,Sportplatz SKV Altenmarkt,Altenmarkt an der Triesting
,Estádio do Sport Lisboa e Benfica,Lisboa
,Estádio do Sport Lisboa e Benfica,Lisboa
636,Stade de l'Abbé Deschamps,Auxerre
438,Doosan Aréna,Plzeň
186,King Power at Den Dreef Stadion,Heverlee
10547,Huvepharma Arena,Razgrad
2615,Stadionul Zimbru,Chişinău
457,Cepheus Park Randers,Randers
121,Vazgen Sargsyan anvan Hanrapetakan Marzadasht,Yerevan
1175,Aspmyra Stadion,Bodø
1030,Vilniaus LFF stadionas,Vilnius
868,Sammy Ofer Stadium,Haifa
799,Groupama Aréna,Budapest
12602,Stadion Miejski LKS Lodz,Łódź
11600,Parken,København
1386,Celtic Park,Glasgow
18630,Spotify Camp Nou,Barcelona
865,Tallaght Stadium,Dublin
1045,Toše Proeski Arena,Skopje
1441,Ljudski vrt,Maribor
615,Bolt Arena,Helsinki
1424,Stadion Partizana,Beograd
1971,Windsor Park,Belfast
1533,Stadion Letzigrund,Zürich
1581,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul
2501,Městský fotbalový stadion Miroslava Valenty,Uherské Hradiště
180,GHELAMCO-arena,Gent
136,Generali Arena,Wien
1589,Yeni Sivas 4 Eylül Stadyumu,Sivas
18644,Košická futbalová aréna,Košice
1393,Tynecastle Park,Edinburgh
459,JYSK park,Silkeborg
1543,Kybunpark,St. Gallen
504,Vitality Stadium,"Bournemouth, Dorset"
682,Stadium de Toulouse,Toulouse
632,Stade François Coty,Ajaccio
1478,Estadi Municipal de Montilivi,Girona
755,wohninvest WESERSTADION,Bremen
911,Stadio Comunale Via del Mare,Lecce
12086,U-Power Stadium,Monza
894,Stadio Giovanni Zini,Cremona
453,MCH Arena,Herning
1128,Stadion Feijenoord,Rotterdam
1247,Stadion Cracovii im. Józefa Piłsudskiego,Kraków
19207,Decathlon Arena – Stade Pierre-Mauroy,Villeneuve d'Ascq
19217,Estádio Cívitas Metropolitano,Madrid
19216,Power Horse Stadium – Estadio de los Juegos Mediterráneos,Almería
19221,Şenol Güneş Spor Kompleksi,Trabzon
19381,SIGNAL IDUNA PARK,Dortmund
